name,time,distance,speed,status,trend
武珞路,23-20-40,1360,13.52,3,加重
中山大道,23-20-40,1570,4.92,4,加重
中北路,24-08-19,720,18.6,3,加重
台北路,24-08-19,750,7.36,3,加重
台北路,24-08-19,570,8.25,3,加重
京汉大道,24-08-19,890,7.9,3,持平
京汉大道,24-08-19,990,11.27,3,加重
解放大道,24-08-19,12050,10.06,4,加重
解放大道,24-08-19,570,15.24,4,持平
解放大道,24-08-19,4940,14.02,3,加重
解放大道,24-08-19,1000,22.87,2,缓解
武胜路,24-08-19,1260,6.94,4,加重
晴川桥,24-08-19,510,16.17,3,加重
武汉长江隧道,24-08-19,530,19.2,3,持平
胭脂路,24-08-19,500,5.2,4,加重
武珞路辅路,24-08-19,590,5.36,4,加重
武珞路辅路,24-08-19,630,15.13,2,加重
武汉大道,24-08-19,1230,14.01,4,加重
武汉大道,24-08-19,1400,17.24,3,持平
武汉大道,24-08-19,3240,26.15,3,缓解
武珞路,24-08-19,1980,12.89,3,缓解
中山路,24-08-19,540,16.02,3,加重
中山路,24-08-19,570,14.98,3,持平
中山路,24-08-19,600,14.77,3,持平
江汉桥,24-08-19,1170,6.97,4,持平
黄浦大街,24-08-19,1420,11.46,3,持平
中山大道,24-08-19,730,16.42,3,加重
中山大道,24-08-19,650,19.26,2,缓解
秦园东路,24-08-19,610,18.2,2,缓解
胜利街,24-08-19,850,9.8,3,加重
中南路,24-08-19,710,17.45,2,持平
友谊南路,24-08-19,500,1.85,4,加重
友谊大道,24-08-19,1450,3.18,4,持平
解放大道,24-09-56,510,2.06,4,持平
解放大道,24-09-56,590,2.54,4,持平
解放大道,24-09-56,3700,23.02,3,持平
武胜路,24-09-56,1100,6.2,4,持平
武胜路,24-09-56,790,21.22,2,加重
利济北路,24-09-56,780,7.05,3,加重
胭脂路,24-09-56,500,1,4,持平
尚隆路,24-09-56,660,10.75,3,加重
武汉大道,24-09-56,1750,13.63,4,加重
武汉大道,24-09-56,1520,23.83,3,加重
武珞路,24-09-56,530,17.7,2,加重
鹦鹉大道,24-09-56,1030,9.72,3,持平
中山路,24-09-56,540,20.54,3,持平
江汉桥,24-09-56,1170,6.53,4,持平
中山大道,24-09-56,1610,5.86,4,加重
